Country,City,Total Tons,First Mission,Last Mission,Num Missions,location,direccion,lat,lon
FRANCE,43 00 N 005 40 E,408.0,8/12/1944,8/20/1944,15,,"43 00 N 005 40 E, France",,
FRANCE,43 00 N 006 20 E,213.0,8/15/1944,8/15/1944,15,,"43 00 N 006 20 E, France",,
FRANCE,43 20 N 004 20 E,9.0,7/12/1944,7/12/1944,3,"N, Les Salins, Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France","43 20 N 004 20 E, France",43.1198569,6.1823043
FRANCE,43 20 N 004 40 E,9.0,7/12/1944,7/12/1944,3,"N, Les Salins, Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France","43 20 N 004 40 E, France",43.1198569,6.1823043
FRANCE,43 20 N 006 00 E,72.0,8/16/1944,8/16/1944,6,"N, Les Salins, Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France","43 20 N 006 00 E, France",43.1198569,6.1823043
FRANCE,43 20 N 006 20 E,30.0,8/15/1944,8/15/1944,3,"N, Les Salins, Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France","43 20 N 006 20 E, France",43.1198569,6.1823043
FRANCE,43 20 N 006 40 E,6.0,8/15/1944,8/15/1944,3,"N, Les Salins, Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France","43 20 N 006 40 E, France",43.1198569,6.1823043
FRANCE,43 40 N 004 40 E,72.0,6/2/1944,6/2/1944,2,"N, Les Salins, Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France","43 40 N 004 40 E, France",43.1198569,6.1823043
FRANCE,44 00 N 000,9.0,8/7/1944,8/7/1944,3,,"44 00 N 000, France",,
FRANCE,44 00 N 000 40 E,68.0,7/1/1944,8/23/1944,7,,"44 00 N 000 40 E, France",,
FRANCE,44 00 N 001 00 E,3.0,7/12/1944,7/12/1944,1,,"44 00 N 001 00 E, France",,
FRANCE,44 00 N 002 00 E,84.0,8/23/1944,8/23/1944,3,,"44 00 N 002 00 E, France",,
FRANCE,44 20 N 006 20 E,70.0,8/19/1944,8/19/1944,2,"N, Les Salins, Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France","44 20 N 006 20 E, France",43.1198569,6.1823043
FRANCE,44 40 N 006 20 E,410.0,3/31/1945,4/9/1945,464,,"44 40 N 006 20 E, France",,
FRANCE,45 00 N 003 20 E,18.0,8/13/1944,8/13/1944,2,,"45 00 N 003 20 E, France",,
FRANCE,45 20 N 007 40 E,21.0,7/6/1944,7/6/1944,3,"N, Les Salins, Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France","45 20 N 007 40 E, France",43.1198569,6.1823043
FRANCE,45 20 N 010 20 E,46.0,7/8/1944,7/8/1944,2,"N, Les Salins, Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France","45 20 N 010 20 E, France",43.1198569,6.1823043
FRANCE,45 40 N 005 20 E,72.0,8/24/1944,8/24/1944,3,"N, Les Salins, Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France","45 40 N 005 20 E, France",43.1198569,6.1823043
FRANCE,45 40 N 006 20 E,144.0,8/11/1944,8/11/1944,3,"N, Les Salins, Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France","45 40 N 006 20 E, France",43.1198569,6.1823043
FRANCE,45 40 N 010 40 E,63.0,5/1/1945,5/1/1945,3,"N, Les Salins, Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France","45 40 N 010 40 E, France",43.1198569,6.1823043
FRANCE,45 40 N 013 00 E,54.0,9/10/1944,9/10/1944,3,"N, Les Salins, Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France","45 40 N 013 00 E, France",43.1198569,6.1823043
FRANCE,46 00 N 010 40 E,6.0,7/6/1944,7/6/1944,3,,"46 00 N 010 40 E, France",,
FRANCE,46 00 N 011 00 E,20.0,7/25/1944,7/25/1944,2,"N, Les Salins, Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France","46 00 N 011 00 E, France",43.1198569,6.1823043
FRANCE,46 20 N 001 00 E,20.0,8/14/1944,8/14/1944,2,,"46 20 N 001 00 E, France",,
FRANCE,47 00 N 000 40 W,24.0,9/11/1944,9/11/1944,3,,"47 00 N 000 40 W, France",,
FRANCE,47 00 N 004 40 E,24.0,8/7/1944,8/7/1944,3,,"47 00 N 004 40 E, France",,
FRANCE,48 00 N 005 20 E,84.0,7/11/1944,7/11/1944,3,,"48 00 N 005 20 E, France",,
FRANCE,48 15 N 008 00 E,840.0,12/24/1944,9/3/1943,80,"N, Les Salins, Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France","48 15 N 008 00 E, France",43.1198569,6.1823043
FRANCE,48 20 N 000 20 E,51.0,7/6/1944,7/6/1944,3,"N, Les Salins, Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France","48 20 N 000 20 E, France",43.1198569,6.1823043
FRANCE,48 20 N 000 40 W,168.0,8/18/1944,8/19/1944,9,,"48 20 N 000 40 W, France",,
FRANCE,48 20 N 005 00 E,147.0,8/14/1944,8/15/1944,9,"N, Les Salins, Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France","48 20 N 005 00 E, France",43.1198569,6.1823043
FRANCE,48 20 N 005 20 E,318.0,10/1/1944,8/15/1944,15,"N, Les Salins, Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France","48 20 N 005 20 E, France",43.1198569,6.1823043
FRANCE,49 00 N 003 40 E,75.0,5/1/1945,5/1/1945,3,"N, Les Salins, Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France","49 00 N 003 40 E, France",43.1198569,6.1823043
FRANCE,49 00 N 006 20 E,99.0,9/11/1944,9/11/1944,3,"N, Les Salins, Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France","49 00 N 006 20 E, France",43.1198569,6.1823043
FRANCE,49 20 N 003 20 E,216.0,6/22/1944,6/24/1944,6,"N, Les Salins, Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France","49 20 N 003 20 E, France",43.1198569,6.1823043
FRANCE,49 20 N 003 40 E,15.0,6/22/1944,6/22/1944,15,"N, Les Salins, Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France","49 20 N 003 40 E, France",43.1198569,6.1823043
FRANCE,49 20 N 006 00 E,258.0,9/11/1944,9/11/1944,6,"N, Les Salins, Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France","49 20 N 006 00 E, France",43.1198569,6.1823043
FRANCE,49 40 N 001 20 E,9.0,10/13/1944,10/13/1944,3,"N, Les Salins, Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France","49 40 N 001 20 E, France",43.1198569,6.1823043
FRANCE,ABANCOURT,18.0,6/6/1944,6/6/1944,2,"Abancourt, Beauvais, Oise, Hauts-de-France, France métropolitaine, 60220, France","ABANCOURT, France",49.6977145,1.7646826
FRANCE,ABBEVILLE,3897.0,1/13/1943,9/9/1943,194,"Abbeville, Somme, Hauts-de-France, France métropolitaine, 80100, France","ABBEVILLE, France",50.1060835,1.8337029
FRANCE,ACHERES,1707.0,3/31/1944,6/6/1944,15,"Achères, Bourges, Cher, Centre-Val de Loire, France métropolitaine, 18250, France","ACHERES, France",47.2774561,2.4491821
FRANCE,ACHIET,704.0,5/24/1944,8/4/1944,16,"Achiet, Rue de la Gare, Achiet-le-Grand, Arras, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62121, France","ACHIET, France",50.1316397,2.7804752
FRANCE,ACQUET,530.0,7/12/1944,8/9/1944,11,"Acquet, Neuilly-le-Dien, Abbeville, Somme, Hauts-de-France, France métropolitaine, 80150, France","ACQUET, France",50.2269096,2.0565356
FRANCE,AGAY,42.0,11/11/1943,2/12/1944,2,"Agay, Allée Bérenger, Le Castellas, Saint-Raphaël, Draguignan, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83530, France","AGAY, France",43.4313633,6.8565322
FRANCE,AGENVILLE,383.0,8/31/1944,8/31/1944,3,"Agenville, Amiens, Somme, Hauts-de-France, France métropolitaine, 80370, France","AGENVILLE, France",50.16507,2.10245
FRANCE,AIGREMONT,126.0,6/7/1944,6/7/1944,2,"Aigremont, Auxerre, Yonne, Bourgogne-Franche-Comté, France métropolitaine, 89800, France","AIGREMONT, France",47.7185581,3.8897807
FRANCE,AILLY LE HAUT CLOCH,64.0,5/8/1944,5/8/1944,2,,"AILLY LE HAUT CLOCH, France",,
FRANCE,AILLY LE HAUT CLOCHE,863.0,1/14/1944,12/22/1943,7,,"AILLY LE HAUT CLOCHE, France",,
FRANCE,AIRE,163.0,7/4/1941,7/6/1944,4,"Aire, Rethel, Ardennes, Grand Est, France métropolitaine, 08190, France","AIRE, France",49.4808857,4.1610461
FRANCE,AIRE SUR LA LYS,319.0,8/8/1944,8/8/1944,2,"Aire-sur-la-Lys, Saint-Omer, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62120, France","AIRE SUR LA LYS, France",50.6395937,2.4000602
FRANCE,ALBERSCHWEILER,70.0,3/20/1945,3/20/1945,2,"Abreschviller, Sarrebourg-Château-Salins, Moselle, Grand Est, France métropolitaine, 57560, France","ALBERSCHWEILER, France",48.6370241,7.0979423
FRANCE,ALENCON,417.0,6/6/1944,6/8/1944,2,"Alençon, Orne, Normandie, France métropolitaine, 61000, France","ALENCON, France",48.4312059,0.0911374
FRANCE,ALMENECHES,81.0,6/6/1944,6/6/1944,3,"Almenêches, Alençon, Orne, Normandie, France métropolitaine, 61570, France","ALMENECHES, France",48.6974684,0.1095293
FRANCE,AMBERIEU,102.0,5/25/1944,5/25/1944,2,"Ambérieu-en-Bugey, Belley, Ain, Auvergne-Rhône-Alpes, France métropolitaine, 01500, France","AMBERIEU, France",45.9584309,5.3595099
FRANCE,AMBES,40.0,12/27/1940,8/4/1940,7,"Ambès, Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33810, France","AMBES, France",45.0121558,-0.5291847
FRANCE,AMBLETEUSE,726.0,6/4/1944,6/5/1944,12,"Ambleteuse, Boulogne-sur-Mer, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62164, France","AMBLETEUSE, France",50.8098639,1.607345
FRANCE,AMBRIERES,540.0,6/14/1944,7/31/1944,24,"Ambrières, Vitry-le-François, Marne, Grand Est, France métropolitaine, 51290, France","AMBRIERES, France",48.6338525,4.8373853
FRANCE,AMIENS,4147.0,10/26/1940,9/6/1943,160,"Amiens, Somme, Hauts-de-France, France métropolitaine, France","AMIENS, France",49.8941708,2.2956951
FRANCE,ANDRES,167.0,12/24/1943,7/8/1944,4,"Andres, Calais, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62340, France","ANDRES, France",50.8639685,1.9141538
FRANCE,ANDRESSELLES,156.0,6/3/1944,6/3/1944,6,,"ANDRESSELLES, France",,
