Country,City,Total Tons,First Mission,Last Mission,Num Missions,location
FRANCE,43 00 N 005 40 E,408.0,8/12/1944,8/20/1944,15,"43 00 N 005 40 E, France"
FRANCE,43 00 N 006 20 E,213.0,8/15/1944,8/15/1944,15,"43 00 N 006 20 E, France"
FRANCE,43 20 N 004 20 E,9.0,7/12/1944,7/12/1944,3,"43 20 N 004 20 E, France"
FRANCE,43 20 N 004 40 E,9.0,7/12/1944,7/12/1944,3,"43 20 N 004 40 E, France"
FRANCE,43 20 N 006 00 E,72.0,8/16/1944,8/16/1944,6,"43 20 N 006 00 E, France"
FRANCE,43 20 N 006 20 E,30.0,8/15/1944,8/15/1944,3,"43 20 N 006 20 E, France"
FRANCE,43 20 N 006 40 E,6.0,8/15/1944,8/15/1944,3,"43 20 N 006 40 E, France"
FRANCE,43 40 N 004 40 E,72.0,6/2/1944,6/2/1944,2,"43 40 N 004 40 E, France"
FRANCE,44 00 N 000,9.0,8/7/1944,8/7/1944,3,"44 00 N 000, France"
FRANCE,44 00 N 000 40 E,68.0,7/1/1944,8/23/1944,7,"44 00 N 000 40 E, France"
FRANCE,44 00 N 001 00 E,3.0,7/12/1944,7/12/1944,1,"44 00 N 001 00 E, France"
FRANCE,44 00 N 002 00 E,84.0,8/23/1944,8/23/1944,3,"44 00 N 002 00 E, France"
FRANCE,44 20 N 006 20 E,70.0,8/19/1944,8/19/1944,2,"44 20 N 006 20 E, France"
FRANCE,44 40 N 006 20 E,410.0,3/31/1945,4/9/1945,464,"44 40 N 006 20 E, France"
FRANCE,45 00 N 003 20 E,18.0,8/13/1944,8/13/1944,2,"45 00 N 003 20 E, France"
FRANCE,45 20 N 007 40 E,21.0,7/6/1944,7/6/1944,3,"45 20 N 007 40 E, France"
FRANCE,45 20 N 010 20 E,46.0,7/8/1944,7/8/1944,2,"45 20 N 010 20 E, France"
FRANCE,45 40 N 005 20 E,72.0,8/24/1944,8/24/1944,3,"45 40 N 005 20 E, France"
FRANCE,45 40 N 006 20 E,144.0,8/11/1944,8/11/1944,3,"45 40 N 006 20 E, France"
FRANCE,45 40 N 010 40 E,63.0,5/1/1945,5/1/1945,3,"45 40 N 010 40 E, France"
FRANCE,45 40 N 013 00 E,54.0,9/10/1944,9/10/1944,3,"45 40 N 013 00 E, France"
FRANCE,46 00 N 010 40 E,6.0,7/6/1944,7/6/1944,3,"46 00 N 010 40 E, France"
FRANCE,46 00 N 011 00 E,20.0,7/25/1944,7/25/1944,2,"46 00 N 011 00 E, France"
FRANCE,46 20 N 001 00 E,20.0,8/14/1944,8/14/1944,2,"46 20 N 001 00 E, France"
FRANCE,47 00 N 000 40 W,24.0,9/11/1944,9/11/1944,3,"47 00 N 000 40 W, France"
FRANCE,47 00 N 004 40 E,24.0,8/7/1944,8/7/1944,3,"47 00 N 004 40 E, France"
FRANCE,48 00 N 005 20 E,84.0,7/11/1944,7/11/1944,3,"48 00 N 005 20 E, France"
FRANCE,48 15 N 008 00 E,840.0,12/24/1944,9/3/1943,80,"48 15 N 008 00 E, France"
FRANCE,48 20 N 000 20 E,51.0,7/6/1944,7/6/1944,3,"48 20 N 000 20 E, France"
FRANCE,48 20 N 000 40 W,168.0,8/18/1944,8/19/1944,9,"48 20 N 000 40 W, France"
FRANCE,48 20 N 005 00 E,147.0,8/14/1944,8/15/1944,9,"48 20 N 005 00 E, France"
FRANCE,48 20 N 005 20 E,318.0,10/1/1944,8/15/1944,15,"48 20 N 005 20 E, France"
FRANCE,49 00 N 003 40 E,75.0,5/1/1945,5/1/1945,3,"49 00 N 003 40 E, France"
FRANCE,49 00 N 006 20 E,99.0,9/11/1944,9/11/1944,3,"49 00 N 006 20 E, France"
FRANCE,49 20 N 003 20 E,216.0,6/22/1944,6/24/1944,6,"49 20 N 003 20 E, France"
FRANCE,49 20 N 003 40 E,15.0,6/22/1944,6/22/1944,15,"49 20 N 003 40 E, France"
FRANCE,49 20 N 006 00 E,258.0,9/11/1944,9/11/1944,6,"49 20 N 006 00 E, France"
FRANCE,49 40 N 001 20 E,9.0,10/13/1944,10/13/1944,3,"49 40 N 001 20 E, France"
FRANCE,ABANCOURT,18.0,6/6/1944,6/6/1944,2,"ABANCOURT, France"
FRANCE,ABBEVILLE,3897.0,1/13/1943,9/9/1943,194,"ABBEVILLE, France"
FRANCE,ACHERES,1707.0,3/31/1944,6/6/1944,15,"ACHERES, France"
FRANCE,ACHIET,704.0,5/24/1944,8/4/1944,16,"ACHIET, France"
FRANCE,ACQUET,530.0,7/12/1944,8/9/1944,11,"ACQUET, France"
FRANCE,AGAY,42.0,11/11/1943,2/12/1944,2,"AGAY, France"
FRANCE,AGENVILLE,383.0,8/31/1944,8/31/1944,3,"AGENVILLE, France"
FRANCE,AIGREMONT,126.0,6/7/1944,6/7/1944,2,"AIGREMONT, France"
FRANCE,AILLY LE HAUT CLOCH,64.0,5/8/1944,5/8/1944,2,"AILLY LE HAUT CLOCH, France"
FRANCE,AILLY LE HAUT CLOCHE,863.0,1/14/1944,12/22/1943,7,"AILLY LE HAUT CLOCHE, France"
FRANCE,AIRE,163.0,7/4/1941,7/6/1944,4,"AIRE, France"
FRANCE,AIRE SUR LA LYS,319.0,8/8/1944,8/8/1944,2,"AIRE SUR LA LYS, France"
FRANCE,ALBERSCHWEILER,70.0,3/20/1945,3/20/1945,2,"ALBERSCHWEILER, France"
FRANCE,ALENCON,417.0,6/6/1944,6/8/1944,2,"ALENCON, France"
FRANCE,ALMENECHES,81.0,6/6/1944,6/6/1944,3,"ALMENECHES, France"
FRANCE,AMBERIEU,102.0,5/25/1944,5/25/1944,2,"AMBERIEU, France"
FRANCE,AMBES,40.0,12/27/1940,8/4/1940,7,"AMBES, France"
FRANCE,AMBLETEUSE,726.0,6/4/1944,6/5/1944,12,"AMBLETEUSE, France"
FRANCE,AMBRIERES,540.0,6/14/1944,7/31/1944,24,"AMBRIERES, France"
FRANCE,AMIENS,4147.0,10/26/1940,9/6/1943,160,"AMIENS, France"
FRANCE,ANDRES,167.0,12/24/1943,7/8/1944,4,"ANDRES, France"
FRANCE,ANDRESSELLES,156.0,6/3/1944,6/3/1944,6,"ANDRESSELLES, France"
FRANCE,ANGERS,1724.0,5/28/1944,8/22/1940,23,"ANGERS, France"
FRANCE,ANGOULEME,394.0,3/20/1944,8/14/1944,8,"ANGOULEME, France"
FRANCE,ANIZY LE CHATEAU,477.0,6/28/1944,8/8/1944,10,"ANIZY LE CHATEAU, France"
FRANCE,ANNECY,306.0,11/11/1943,5/9/1944,8,"ANNECY, France"
FRANCE,ANSE,36.0,8/28/1944,8/28/1944,2,"ANSE, France"
FRANCE,ANTHEOR,1234.0,11/11/1943,9/16/1943,43,"ANTHEOR, France"
FRANCE,ANVERS SUR OISE,72.0,8/15/1944,8/15/1944,2,"ANVERS SUR OISE, France"
FRANCE,APPEVILLE,82.0,8/17/1944,8/17/1944,2,"APPEVILLE, France"
FRANCE,ARAD,23.0,1/4/1941,8/31/1941,21,"ARAD, France"
FRANCE,ARAMON,147.0,7/12/1944,8/15/1944,9,"ARAMON, France"
FRANCE,ARDOUVAL,442.0,7/20/1944,7/9/1944,8,"ARDOUVAL, France"
FRANCE,ARDRES,93.0,3/2/1944,3/2/1944,3,"ARDRES, France"
FRANCE,ARGENTAN,1773.0,10/20/1941,8/12/1944,51,"ARGENTAN, France"
FRANCE,ARLES,499.0,6/25/1944,8/6/1944,11,"ARLES, France"
FRANCE,ARMENTIERES,191.0,6/22/1944,8/13/1944,5,"ARMENTIERES, France"
FRANCE,ARQUES,10.0,10/12/1941,7/12/1941,2,"ARQUES, France"
FRANCE,ARQUES LA BATAILLE,65.0,8/30/1944,8/30/1944,5,"ARQUES LA BATAILLE, France"
FRANCE,ARRAS,646.0,12/6/1940,9/6/1940,13,"ARRAS, France"
FRANCE,ARROMANCHES,1098.0,6/6/1944,6/6/1944,24,"ARROMANCHES, France"
FRANCE,ASNELLES SUR MER,288.0,6/6/1944,6/6/1944,15,"ASNELLES SUR MER, France"
FRANCE,ATHIES,171.0,7/23/1944,7/23/1944,3,"ATHIES, France"
FRANCE,AU FEVRE,505.0,5/31/1944,5/31/1944,2,"AU FEVRE, France"
FRANCE,AUBE SUR RISLE,90.0,6/25/1944,6/25/1944,3,"AUBE SUR RISLE, France"
FRANCE,AUBERGENVILLE,24.0,8/9/1944,8/9/1944,2,"AUBERGENVILLE, France"
FRANCE,AUBIGNE RACAN,306.0,5/6/1944,5/6/1944,2,"AUBIGNE RACAN, France"
FRANCE,AUBIGNY,18.0,8/9/1944,8/9/1944,3,"AUBIGNY, France"
FRANCE,AUCHEL,156.0,1/24/1944,1/24/1944,3,"AUCHEL, France"
FRANCE,AUDERVILLE,420.0,6/29/1944,6/29/1944,6,"AUDERVILLE, France"
FRANCE,AUDINGHEM,899.0,1/14/1944,12/24/1943,21,"AUDINGHEM, France"
FRANCE,AUDINGTHUN,308.0,12/21/1943,5/8/1944,11,"AUDINGTHUN, France"
FRANCE,AULNOIS,64.0,8/2/1944,8/2/1944,3,"AULNOIS, France"
FRANCE,AULNOYE,3665.0,1/13/1943,7/18/1944,24,"AULNOYE, France"
FRANCE,AULT,865.0,2/11/1944,6/4/1944,26,"AULT, France"
FRANCE,AUNAY,1515.0,6/11/1944,6/14/1944,9,"AUNAY, France"
FRANCE,AUTHEUX,263.0,6/19/1944,6/21/1944,22,"AUTHEUX, France"
FRANCE,AUTHIE,504.0,12/24/1943,2/13/1944,12,"AUTHIE, France"
FRANCE,AUXERRE,174.0,5/11/1944,7/17/1944,7,"AUXERRE, France"
FRANCE,AUXI LE CHATEAU,16.0,8/14/1944,8/14/1944,2,"AUXI LE CHATEAU, France"
FRANCE,AVESNES,207.0,8/3/1944,8/8/1944,9,"AVESNES, France"
FRANCE,AVIGNON,2319.0,5/27/1944,8/8/1944,47,"AVIGNON, France"
FRANCE,AVORD,2577.0,2/5/1944,6/4/1944,42,"AVORD, France"
FRANCE,AVRANCHES,361.0,11/22/1940,9/3/1941,17,"AVRANCHES, France"
FRANCE,AZEVILLE,120.0,6/5/1944,6/5/1944,6,"AZEVILLE, France"
FRANCE,BACHIMONT,607.0,6/18/1944,6/24/1944,34,"BACHIMONT, France"
FRANCE,BAGNOLES DE L ORNE,129.0,6/24/1944,6/24/1944,3,"BAGNOLES DE L ORNE, France"
FRANCE,BALARUC LES BAINS,276.0,6/25/1944,6/25/1944,4,"BALARUC LES BAINS, France"
FRANCE,BALLEROY,92.0,6/7/1944,6/7/1944,2,"BALLEROY, France"
FRANCE,BAMIERES,647.0,6/20/1944,6/24/1944,6,"BAMIERES, France"
FRANCE,BARENTIN,22.0,7/8/1944,7/8/1944,1,"BARENTIN, France"
FRANCE,BARFLEUR,921.0,4/27/1944,6/7/1944,26,"BARFLEUR, France"
FRANCE,BARISIS,210.0,8/28/1944,8/28/1944,3,"BARISIS, France"
FRANCE,BARLIN,24.0,6/20/1944,6/20/1944,3,"BARLIN, France"
FRANCE,BARQUES,165.0,4/20/1944,4/20/1944,3,"BARQUES, France"
FRANCE,BASSENS,495.0,8/5/1944,8/5/1944,2,"BASSENS, France"
FRANCE,BAULON,36.0,6/11/1944,6/11/1944,3,"BAULON, France"
FRANCE,BAYE DE LA SEINE,1404.0,8/13/1944,8/13/1944,62,"BAYE DE LA SEINE, France"
FRANCE,BAYEUX,96.0,6/10/1944,6/10/1944,2,"BAYEUX, France"
FRANCE,BAYON,36.0,5/23/1944,5/23/1944,2,"BAYON, France"
