Target Country,Target City,Theater of Operations,Total Weight (Tons),First Mission,Last Mission,Num Missions,location
"""PAPUA NEW GUINEA, MANUS ISLAND""","""MANUS ISLAND AREA : CONVOY: 4 DD, 1 CRUISER, 2 TRANSPORTS""",PTO,12.0,12/18/1942,12/19/1942,3,"""MANUS ISLAND AREA : CONVOY: 4 DD, 1 CRUISER, 2 TRANSPORTS"", ""PAPUA NEW GUINEA, MANUS ISLAND"""
ALBANIA,"""BESIST, CAMSISTI & CAUTSISTI""",ETO,0.0,2/17/1941,2/17/1941,1,"""BESIST, CAMSISTI & CAUTSISTI"", ALBANIA"
ALBANIA,"""BESIST, DANZI & CANESISTI""",ETO,0.0,2/17/1941,2/17/1941,1,"""BESIST, DANZI & CANESISTI"", ALBANIA"
ALBANIA,"""PARABOAR, 5 MI. N BUZI""",ETO,0.0,3/1/1941,3/1/1941,2,"""PARABOAR, 5 MI. N BUZI"", ALBANIA"
ALBANIA,ALBANIA - BALCHEN BRIDGE,ETO,16.0,11/7/1944,11/7/1944,1,"ALBANIA - BALCHEN BRIDGE, ALBANIA"
ALBANIA,ARGYROKASTRO,ETO,0.0,11/13/1940,11/22/1940,2,"ARGYROKASTRO, ALBANIA"
ALBANIA,BERAT,ETO,370.0,7/23/1944,7/26/1944,6,"BERAT, ALBANIA"
ALBANIA,BESIST,ETO,0.0,3/7/1941,3/7/1941,1,"BESIST, ALBANIA"
ALBANIA,BUSI & LAITIZA,ETO,0.0,2/15/1941,2/15/1941,2,"BUSI & LAITIZA, ALBANIA"
ALBANIA,CITY TOT UNDER 6 TON,ETO,6.0,8/24/1944,8/24/1944,2,"CITY TOT UNDER 6 TON, ALBANIA"
ALBANIA,DRAGOTI,ETO,0.0,3/7/1941,3/7/1941,1,"DRAGOTI, ALBANIA"
ALBANIA,DUKATI,ETO,0.0,3/29/1941,3/29/1941,1,"DUKATI, ALBANIA"
ALBANIA,DURAZZO,ETO,379.0,11/10/1943,3/19/1941,25,"DURAZZO, ALBANIA"
ALBANIA,DURAZZO & TIRANA AD,ETO,0.0,2/12/1941,2/12/1941,1,"DURAZZO & TIRANA AD, ALBANIA"
ALBANIA,DURAZZO - TIRANA AD,ETO,0.0,11/19/1940,11/19/1940,1,"DURAZZO - TIRANA AD, ALBANIA"
ALBANIA,DURAZZO HARBOR,ETO,0.0,3/8/1941,3/8/1941,1,"DURAZZO HARBOR, ALBANIA"
ALBANIA,ELBASAN,ETO,0.0,1/2/1941,3/30/1941,11,"ELBASAN, ALBANIA"
ALBANIA,ELBASAN - DUKAJ AREA,ETO,0.0,2/12/1941,2/12/1941,1,"ELBASAN - DUKAJ AREA, ALBANIA"
ALBANIA,ELBASAN - KORITZA RD,ETO,0.0,11/14/1940,11/14/1940,1,"ELBASAN - KORITZA RD, ALBANIA"
ALBANIA,FIER,ETO,261.0,1/30/1944,1/30/1944,3,"FIER, ALBANIA"
ALBANIA,FIERI,ETO,0.0,2/26/1941,2/26/1941,2,"FIERI, ALBANIA"
ALBANIA,LUZATI,ETO,0.0,2/26/1941,2/26/1941,2,"LUZATI, ALBANIA"
ALBANIA,NAVAL UNITS OFF HIMARE,ETO,0.0,3/4/1941,3/4/1941,2,"NAVAL UNITS OFF HIMARE, ALBANIA"
ALBANIA,POGRADETZ,ETO,0.0,11/22/1940,11/22/1940,1,"POGRADETZ, ALBANIA"
ALBANIA,RAILWAY NEAR KATARINE,ETO,0.0,4/19/1941,4/19/1941,2,"RAILWAY NEAR KATARINE, ALBANIA"
ALBANIA,ROTTERDAM,ETO,1.0,2/10/1941,2/10/1941,1,"ROTTERDAM, ALBANIA"
ALBANIA,SARANDE,ETO,0.0,11/28/1940,12/4/1940,5,"SARANDE, ALBANIA"
ALBANIA,SOEST,ETO,1.0,8/8/1941,8/8/1941,1,"SOEST, ALBANIA"
ALBANIA,TEPELENE,ETO,0.0,11/20/1940,4/2/1941,18,"TEPELENE, ALBANIA"
ALBANIA,TEPELENE & DUKAL,ETO,0.0,3/19/1941,3/19/1941,1,"TEPELENE & DUKAL, ALBANIA"
ALBANIA,TEPELENE - KELEYRE ROAD,ETO,0.0,2/25/1941,2/25/1941,2,"TEPELENE - KELEYRE ROAD, ALBANIA"
ALBANIA,TIRANA,ETO,100.0,10/13/1943,10/24/1943,4,"TIRANA, ALBANIA"
ALBANIA,UNIDENTIFIED,ETO,254.0,11/12/1943,11/12/1943,2,"UNIDENTIFIED, ALBANIA"
ALBANIA,UNKNOWN,ETO,77.0,9/17/1944,9/2/1943,5,"UNKNOWN, ALBANIA"
ALBANIA,VALONA,ETO,0.0,1/19/1941,4/14/1941,35,"VALONA, ALBANIA"
ALBANIA,VALONA - HIMARE ROAD,ETO,0.0,3/30/1941,3/30/1941,1,"VALONA - HIMARE ROAD, ALBANIA"
ALBANIA,VALONA - SARANDE,ETO,0.0,12/17/1940,12/17/1940,1,"VALONA - SARANDE, ALBANIA"
ALBANIA,VALONLA - DURAZZO,ETO,0.0,11/17/1940,11/17/1940,1,"VALONLA - DURAZZO, ALBANIA"
ALEUTIAN ISLANDS,ATTU ISLAND,PTO,16.0,11/1/1944,9/9/1944,5,"ATTU ISLAND, ALEUTIAN ISLANDS"
ALEUTIAN ISLANDS,KISKA ISLAND,PTO,1013.0,6/24/1943,8/4/1943,234,"KISKA ISLAND, ALEUTIAN ISLANDS"
ALGERIA,DJIDJELLI,MTO,18.0,9/13/1943,9/13/1943,2,"DJIDJELLI, ALGERIA"
ANDAMAN ISLANDS,POINT BLAIR,CBI,8.0,4/2/1942,4/2/1942,2,"POINT BLAIR, ANDAMAN ISLANDS"
ANDAMAN ISLANDS,PORT BLAIR,CBI,22.0,11/30/1942,2/1/1943,3,"PORT BLAIR, ANDAMAN ISLANDS"
ANDAMAN ISLANDS,PORT BLAIR FLYING BOATS,CBI,2.0,4/14/1942,4/18/1942,2,"PORT BLAIR FLYING BOATS, ANDAMAN ISLANDS"
ANDAMAN ISLANDS,PORT CORNWALLIS,CBI,0.0,8/10/1942,8/10/1942,1,"PORT CORNWALLIS, ANDAMAN ISLANDS"
AUSTRALIA,8 MI E OF TATHRA HEAD,PTO,0.25,7/22/1942,7/22/1942,1,"8 MI E OF TATHRA HEAD, AUSTRALIA"
AUSTRALIA,DARWIN AREA - ATTACKED ONE LUGGER OF 20 TONS,PTO,0.1,12/4/1942,12/4/1942,1,"DARWIN AREA - ATTACKED ONE LUGGER OF 20 TONS, AUSTRALIA"
AUSTRALIA,HORN ISLAND - ENEMY SUBMARINE POSSIBLY DAMAGED,PTO,0.5,12/15/1942,12/15/1942,2,"HORN ISLAND - ENEMY SUBMARINE POSSIBLY DAMAGED, AUSTRALIA"
AUSTRIA,35 00 N 010 00 E,ETO,108.0,12/15/1944,12/15/1944,3,"35 00 N 010 00 E, AUSTRIA"
AUSTRIA,43 00 N 005 40 E,ETO,2.0,2/13/1945,2/13/1945,1,"43 00 N 005 40 E, AUSTRIA"
AUSTRIA,43 20 N 004 40 E,ETO,0.0,12/20/1944,12/20/1944,1,"43 20 N 004 40 E, AUSTRIA"
AUSTRIA,43 20 N 005 00 E,ETO,6.0,12/20/1944,3/20/1945,2,"43 20 N 005 00 E, AUSTRIA"
AUSTRIA,46 20 N 014 20 E,ETO,2.0,3/21/1945,3/21/1945,1,"46 20 N 014 20 E, AUSTRIA"
