País,lat,lon
ITALY,42.6384261,12.674297
NEW GUINEA,-5.5226203,142.0871194
SUMATRA,-0.1432942,101.6241024
BURMA,17.1750495,95.9999652
GERMANY,51.1638175,10.4478313
HOLLAND OR NETHERLANDS,51.9846145,4.4499142
FRANCE,46.603354,1.8883335
CORAL SEA AREA,41.073838,-80.6920881
SOLOMON ISLANDS,-8.7053941,159.1070694
BORNEO,1.4297828,114.7410413
CHINA,35.000074,104.999927
CAROLINE ISLANDS,8.0,147.0
KURILE ISLANDS,50.3840378,155.8322143
CELEBES ISLANDS,-1.9758004,120.2948856
MARIANAS ISLANDS,15.1753648,145.7379338
MANCHURIA,-9.2079909,-76.1651529
JAVA,-6.7115076,110.6337137
PHILIPPINE ISLANDS,14.5761711,120.9817715
JAPAN,36.5748441,139.2394179
AUSTRIA,47.59397,14.12456
BELGIUM,50.6402809,4.6667145
ALEUTIAN ISLANDS,54.720935,-164.0408092
NEW IRELAND,-3.7021472,152.4360021
MARCUS ISLANDS,27.2181096,-112.0708055
GREECE,38.9953683,21.9877132
HUNGARY,47.1817585,19.5060937
YUGOSLAVIA,23.0412366,-81.5261419
MARSHALL ISLANDS,8.9995549,168.0002575
PALAU ISLANDS,7.53902,134.5671064
MALAY STATES,3.1501425,101.6954388
ROMANIA,45.9852129,24.6859225
INDIA,22.3511148,78.6677428
SWITZERLAND,46.7985624,8.2319736
ALBANIA,41.000028,19.9999619
LUXEMBOURG,49.8158683,6.1296751
POLAND,52.215933,19.134422
ALGERIA,28.0000272,2.9999825
NORWAY,61.1529386,8.7876653
GILBERT ISLANDS,-1.2394556,175.2969455
CRETE,41.4445334,-87.6313829
SUMATRA MINING,-3.7412722,103.7582089
CZECHOSLOVAKIA,48.257918,14.5007688
FORMOSA,-24.5955306,-60.4289718
SARDINIA,40.0912813,9.0305773
CHINA MINING,38.0709306,114.0504217
BULGARIA,42.6073975,25.4856617
DENMARK,55.670249,10.3333283
GREAT BRITAIN,54.3151594,-1.9181532
CORSICA,42.188098,9.0683139
LIBYA,26.8234472,18.1236723
ERITREA,15.9500319,37.9999668
ETHIOPIA,10.2116702,38.6521203
SUDAN,14.5844444,29.4917691
WAKE ISLAND,19.2969291,166.6255924
JAPAN MINING,39.3432381,141.6825261
BOUGAINVILLE,49.8699135,2.0432341
SOMALIA,8.3676771,49.083416
UNKNOWN,26.492533,92.3308789
SICILY,37.587794,14.155048
MADAGASCAR,-18.9249604,46.4416422
IRAQ,33.0955793,44.1749775
LEBANON,33.8750629,35.843409
SYRIA,34.8147886,38.4231781
TUNISIA,33.8439408,9.400138
CYPRUS,34.9174159,32.8899027
TURKEY,39.294076,35.2316631
NETHERLANDS EAST INDIES,-27.4615098,153.0184604
INDONESIA,-2.4833826,117.8902853
BALI,-8.2271303,115.1919203
ANDAMAN ISLANDS,12.6112387,92.8316541
INDIAN OCEAN,-9.9999999,69.9999999
TIMOR,-9.3460171,124.6370774
EGYPT,26.2540493,29.2675469
AUSTRALIA,-24.7761086,134.755
"""PAPUA NEW GUINEA, MANUS ISLAND""",-5.5479395,154.6117082
MOROCCO,28.3347722,-10.3713379
Mariana Islands,15.2,145.8
Pacific Ocean,0.0,-160.0
Wake Island,19.3,166.6
South China Sea,10.0,115.0
Bonin Islands,27.1,142.2
